root,cell,n,captured_count,captured_percent,captured_wilson_lo,captured_wilson_hi,crash_count,crash_percent,crash_wilson_lo,crash_wilson_hi,timeout_count,timeout_percent,timeout_wilson_lo,timeout_wilson_hi
D1gate_T0_s523,T0_d130_off,2049,1089,53.14787701317716,50.98334950526697,55.30062334834576,930,45.387994143484626,43.242908549333656,47.55034052560582,30,1.4641288433382138,1.0274893038275459,2.0824176276784767
D1gate_T0_s523,T0_d160_off,2049,827,40.36115178135676,38.256763281000374,42.50161441530172,1202,58.66276232308443,56.51628037345829,60.77682321594109,20,0.9760858955588092,0.6327527316777944,1.5028948426789681
D1gate_T0_s523,T0_d205_off,2051,357,17.4061433447099,15.826547704893168,19.10760527996411,1681,81.96001950268162,80.23663550602298,83.5639070795059,13,0.6338371526084837,0.37079492036071093,1.0814562347148058
D1p_ep25000_s523,ep25000_d070_dwa_arc,2049,1914,93.41142020497803,92.25395021602684,94.4064196023999,92,4.489995119570523,3.675304700783235,5.475010245048204,43,2.09858467545144,1.5617243593693433,2.814719736430719
D1p_ep25000_s523,ep25000_d070_off,2049,1804,88.04294777940459,86.56639824639956,89.37711864338532,199,9.712054660810152,8.504252924458692,11.070637142869838,46,2.2449975597852614,1.6873228311551445,2.981399071789695
D1p_ep25000_s523,ep25000_d070_riskcap,2050,1883,91.85365853658537,90.58976354876494,92.96098924328939,117,5.707317073170732,4.783472385612167,6.796849834451575,50,2.4390243902439024,1.8549461552071145,3.20101658109481
D1p_ep25000_s523,ep25000_d070_stopcap,2049,1853,90.43435822352367,89.08413237001031,91.63325536980594,110,5.368472425573451,4.473400073881186,6.430581714818922,86,4.19716935090288,3.411218766826765,5.154540564715117
D1p_ep25000_s523,ep25000_d100_dwa_arc,2049,1908,93.1185944363104,91.9399055055107,94.13590869862651,95,4.636408003904344,3.8077395702885903,5.6348531826876265,46,2.2449975597852614,1.6873228311551445,2.981399071789695
D1p_ep25000_s523,ep25000_d100_off,2050,1839,89.70731707317073,88.31680876809148,90.94929003462671,174,8.487804878048781,7.357631673148665,9.773265033100504,37,1.8048780487804876,1.3122577145200585,2.477784524932558
D1p_ep25000_s523,ep25000_d100_riskcap,2049,1852,90.38555392874574,89.03253257093598,91.58742923316532,131,6.3933626159102,5.4135715691535955,7.536354869559959,66,3.22108345534407,2.5398517816367137,4.077388835606648
D1p_ep25000_s523,ep25000_d100_stopcap,2050,1833,89.41463414634147,88.00835173527696,90.67347606889541,127,6.195121951219512,5.231276272342657,7.322830945297475,90,4.390243902439024,3.5854004828141344,5.365702243793352
